(Fitzgerald's Park, 19)
(Kent Station, 1)
(South Gate Bridge, 14)
(Corn Market St., 3)
(Gaol Walk, 12)
(Mercy Hospital, 11)
(Bandfield, 23)
(Lower Glanmire Rd., 1)
