Bandfield - 13
Grattan St. - 13
Pope's Quay - 20
Camden Quay - 26
South Gate Bridge - 2
Gaol Walk - 13
South Main St. - 50
Mercy Hospital - 20
Fitzgerald's Park - 20
Peace Park - 47
Grand Parade - 46
Bus Station - 42
Lapp's Quay - 33
