Fitzgerald's Park - 5
Kent Station - 15
South Gate Bridge - 15
Brian Boru Bridge - 14
Lower Glanmire Rd. - 9
Clontarf Street - 2
Mercy Hospital - 1
South Main St. - 3
Cork School of Music - 4
Gaol Walk - 1
